n: 100
k_max: 5
N_max: 60
stop_mejoras: 500
coords:[
    1	85	31
    2	29	1
    3	31	72
    4	40	18
    5	1	33
    6	78	69
    7	51	74
    8	10	9
    9	13	5
    10	13	36
    11	8	47
    12	10	36
    13	43	97
    14	41	66
    15	89	59
    16	88	34
    17	68	63
    18	36	26
    19	67	11
    20	47	24
    21	45	45
    22	97	20
    23	52	8
    24	79	75
    25	48	42
    26	86	58
    27	70	40
    28	32	86
    29	14	78
    30	52	35
    31	26	16
    32	3	45
    33	2	74
    34	37	53
    35	100	63
    36	8	85
    37	97	41
    38	22	77
    39	58	50
    40	50	90
    41	75	88
    42	40	14
    43	3	14
    44	22	82
    45	31	70
    46	98	6
    47	83	88
    48	50	92
    49	83	27
    50	13	20
    51	30	40
    52	44	92
    53	8	51
    54	46	94
    55	36	21
    56	36	90
    57	33	29
    58	59	44
    59	5	2
    60	95	30
    61	93	66
    62	49	71
    63	43	60
    64	82	66
    65	18	73
    66	20	32
    67	66	27
    68	66	36
    69	62	12
    70	58	64
    71	95	6
    72	36	7
    73	42	53
    74	17	72
    75	78	89
    76	26	56
    77	89	62
    78	35	77
    79	17	88
    80	55	50
    81	48	84
    82	29	88
    83	78	49
    84	66	80
    85	16	42
    86	11	41
    87	5	11
    88	74	28
    89	64	80
    90	60	35
    91	17	52
    92	42	63
    93	83	18
    94	13	32
    95	98	1
    96	36	71
    97	48	50
    98	57	6
    99	30	29
    100	73	4
]
