n: 10
m: 20

a:[
	(1 2) 1
	(2 1) 1 (2 2) 1
	(3 1) 1 (3 3) 1
	(4 3) 1
	(5 3) 1
	(6 2) 1
	(7 2) 1 (7 4) 1
	(8 3) 1 (8 4) 1
	(9 8) 1
	(10 4) 1 (10 6) 1
	(11 4) 1 (11 5) 1
	(12 4) 1 (12 5) 1 (12 6) 1
	(13 4) 1 (13 5) 1 (13 7) 1
	(14 8) 1 (14 9) 1
	(15 6) 1 (15 9) 1
	(16 5) 1 (16 6) 1
	(17 5) 1 (17 7) 1 (17 10) 1
	(18 8) 1 (18 9) 1
	(19 9) 1 (19 10) 1
	(20 10) 1
]

dem:[
	( 1) 5.2	( 2) 4.4	( 3) 7.1	( 4) 9.0	( 5) 6.1		
	( 6) 5.7	( 7) 10.0	( 8) 12.2	( 9) 7.6	(10) 20.3
	(11) 30.4	(12) 30.9	(13) 12.0	(14) 9.3	(15) 15.5	
	(16) 25.6	(17) 11		(18) 5.3	(19) 7.9	(20) 9.9
]
