n: 37
m: 10

a:[
	( 1  1) 1  ( 1 11) 1  ( 1 16) 1  ( 1 25) 1  ( 1 26) 1  ( 1 29) 1  ( 1 34) 1
	( 2  2) 1  ( 2 12) 1  ( 2 13) 1  ( 2 19) 1  ( 2 27) 1  ( 2 28) 1  ( 2 30) 1  ( 2 33) 1  ( 2 35) 1
	( 3  3) 1  ( 3 14) 1  ( 3 15) 1  ( 3 29) 1  ( 3 30) 1
	( 4  4) 1  ( 4 16) 1  ( 4 20) 1  ( 4 22) 1  ( 4 25) 1  ( 4 27) 1  ( 4 29) 1  ( 4 31) 1  ( 4 34) 1  ( 4 36) 1
	( 5  5) 1  ( 5 17) 1  ( 5 18) 1  ( 5 31) 1  ( 5 32) 1
	( 6  6) 1  ( 6 12) 1  ( 6 17) 1  ( 6 33) 1
	( 7  7) 1  ( 7 15) 1  ( 7 19) 1  ( 7 21) 1  ( 7 23) 1  ( 7 26) 1  ( 7 28) 1  ( 7 30) 1  ( 7 32) 1  ( 7 33) 1  ( 7 35) 1  ( 7 37) 1
	( 8  8) 1  ( 8 13) 1  ( 8 18) 1  ( 8 20) 1  ( 8 21) 1  ( 8 27) 1  ( 8 28) 1  ( 8 31) 1  ( 8 32) 1  ( 8 34) 1
	( 9  9) 1  ( 9 11) 1  ( 9 22) 1  ( 9 23) 1  ( 9 24) 1  ( 9 25) 1  ( 9 26) 1  ( 9 35) 1  ( 9 36) 1  ( 9 37) 1
	(10 10) 1  (10 24) 1  (10 36) 1  (10 37) 1
]

c:[
	( 1) 3  ( 2) 3  ( 3) 3  ( 4) 3  ( 5) 3
	( 6) 3  ( 7) 3  ( 8) 3  ( 9) 3  (10) 3
	(11) 3  (12) 2  (13) 3  (14) 3  (15) 2
	(16) 3  (17) 3  (18) 3  (19) 3  (20) 2
	(21) 3  (22) 3  (23) 3  (24) 2  (25) 2
	(26) 3  (27) 2  (28) 2  (29) 3  (30) 3
	(31) 3  (32) 3  (33) 3  (34) 3  (25) 3
	(36) 3  (37) 3
]
