edges:
(1, 5)
(1, 7)
(1, 11)
(1, 18)
(1, 27)
(1, 30)
(1, 41)
(1, 45)
(1, 46)
(1, 64)
(1, 76)
(2, 44)
(3, 75)
(4, 25)
(5, 49)
(6, 72)
(7, 2)
(8, 36)
(9, 20)
(10, 32)
(11, 66)
(12, 39)
(13, 33)
(14, 55)
(15, 60)
(16, 58)
(17, 24)
(18, 4)
(19, 51)
(20, 54)
(21, 38)
(22, 70)
(23, 29)
(24, 57)
(25, 50)
(26, 56)
(27, 13)
(28, 14)
(29, 63)
(30, 48)
(31, 16)
(32, 26)
(33, 19)
(34, 3)
(35, 53)
(36, 15)
(37, 69)
(38, 37)
(39, 1)
(40, 73)
(41, 40)
(42, 43)
(43, 65)
(44, 42)
(45, 10)
(46, 28)
(47, 35)
(48, 6)
(49, 47)
(50, 34)
(51, 59)
(52, 74)
(53, 1)
(54, 1)
(55, 9)
(56, 1)
(57, 1)
(58, 8)
(59, 1)
(60, 1)
(61, 71)
(62, 1)
(63, 1)
(64, 31)
(65, 62)
(66, 67)
(67, 12)
(68, 17)
(69, 1)
(70, 52)
(71, 21)
(72, 61)
(73, 68)
(74, 23)
(75, 1)
(76, 22)
vehicles: 11
distance: 1196
