edges: 
(1, 1)
(1, 11)
(1, 18)
(1, 27)
(1, 31)
(1, 34)
(1, 36)
(1, 40)
(1, 47)
(1, 49)
(1, 63)
(1, 69)
(1, 76)
(2, 44)
(3, 75)
(4, 45)
(5, 1)
(6, 16)
(7, 74)
(8, 1)
(9, 15)
(10, 33)
(11, 39)
(12, 1)
(13, 73)
(14, 53)
(15, 54)
(16, 58)
(17, 52)
(18, 4)
(19, 1)
(20, 55)
(21, 38)
(22, 62)
(23, 65)
(24, 64)
(25, 50)
(26, 51)
(27, 13)
(28, 59)
(29, 1)
(30, 6)
(31, 46)
(32, 56)
(33, 41)
(34, 7)
(35, 68)
(36, 20)
(37, 70)
(38, 1)
(39, 66)
(40, 10)
(41, 1)
(42, 57)
(43, 42)
(44, 1)
(45, 25)
(46, 30)
(47, 9)
(48, 37)
(49, 48)
(50, 17)
(51, 19)
(52, 1)
(53, 35)
(54, 12)
(55, 14)
(56, 26)
(57, 24)
(58, 28)
(59, 1)
(60, 8)
(61, 71)
(62, 29)
(63, 23)
(64, 1)
(65, 43)
(66, 67)
(67, 60)
(68, 1)
(69, 3)
(70, 72)
(71, 21)
(72, 61)
(73, 32)
(74, 2)
(75, 22)
(76, 5)
vehicles: 13
distance: 972
