task: 100
raw: [
  17	10	25
  14	1	37
  14	8	25
  12	1	32
  14	10	31
  14	2	37
  15	3	27
  13	9	27
  15	6	33
  19	7	39
  17	6	36
  14	2	27
  11	10	31
  19	7	32
  20	1	26
  19	4	21
  16	5	26
  10	1	40
  18	7	40
  14	5	39
  11	9	34
  17	3	23
  10	7	26
  11	3	23
  14	1	24
  13	7	39
  10	7	29
  10	2	29
  10	1	31
  14	6	33
  14	1	22
  18	5	30
  18	3	31
  14	7	23
  18	10	35
  14	2	34
  15	1	30
  17	7	30
  18	7	33
  18	8	22
  18	1	35
  19	9	20
  13	1	40
  17	6	33
  12	8	35
  20	4	31
  14	4	26
  16	5	25
  18	2	22
  18	9	27
  16	2	21
  17	6	22
  18	7	38
  11	5	39
  16	1	38
  15	2	33
  12	2	39
  19	1	38
  12	3	35
  13	9	32
  16	4	25
  14	8	36
  11	1	21
  15	3	36
  16	2	28
  19	9	37
  16	5	29
  16	9	21
  18	10	33
  17	4	26
  14	4	37
  17	1	32
  13	8	38
  15	9	30
  16	7	33
  16	6	24
  16	10	25
  13	9	39
  19	2	24
  15	9	31
  14	3	20
  16	8	23
  14	1	26
  18	4	27
  10	6	29
  11	5	22
  17	1	40
  15	5	21
  12	9	36
  12	1	24
  11	9	23
  10	10	21
  11	3	32
  16	1	28
  13	1	36
  15	6	37
  15	5	38
  17	5	31
  15	5	36
  20	3	37
]
