n:30
m:30 
dist:[
		
	0 244 140 128 281 196 181 51 248 167 338 54 203 146 295 211 295 78 169 38 167 112 71 220 157 16 135 7 90 165
	   
	244 0 158 359 37 111 66 268 60 112 101 278 272 328 51 222 77 200 106 281 332 263 294 33 284 233 109 248 161 164
	  
	140 158 0 202 194 56 92 170 117 46 215 137 256 170 209 206 160 62 114 177 279 105 136 136 239 129 78 144 92 148
	   
	128 359 202 0 395 258 294 179 319 248 416 90 331 61 410 339 361 176 290 100 295 106 70 337 285 143 254 133 211 293
		 
	281 37 194 395 0 145 102 305 92 148 69 317 309 366 19 259 74 236 143 318 369 299 330 70 321 272 146 285 198 201
		
	196 111 56 258 145 0 60 229 61 34 159 189 269 226 162 219 104 118 112 233 315 161 192 100 274 185 91 200 128 161
		  
	181 66 92 294 102 60 0 208 67 47 157 220 225 262 117 175 114 134 59 218 279 197 228 46 237 170 49 185 101 117
		
	51 268 170 179 305 229 208 0 275 195 366 105 152 197 319 180 322 108 186 81 116 163 124 242 106 41 159 48 107 175
		 
	248 60 117 319 92 61 67 275 0 87 111 254 292 287 111 242 56 175 126 285 346 222 253 60 304 237 116 252 168 184
		 
	167 112 46 248 148 34 47 195 87 0 185 179 235 216 163 185 130 93 79 204 281 151 182 90 240 156 57 171 94 127
	  
	338 101 215 416 69 159 157 366 111 185 0 348 373 381 88 323 55 273 207 375 433 316 351 134 385 327 206 342 258 265
		 
	54 278 137 90 317 189 220 105 254 179 348 0 257 95 329 250 293 86 205 65 221 58 20 254 211 69 169 61 126 204
	  
	203 272 256 331 309 269 225 152 292 235 373 257 0 349 323 66 339 236 168 233 60 315 274 239 46 193 178 200 171 108
	   
	146 328 170 61 366 226 262 197 287 216 381 95 349 0 379 343 326 179 284 144 313 69 75 306 303 161 248 151 219 297
	   
	295 51 209 410 19 162 117 319 111 163 88 329 323 379 0 273 93 251 157 332 383 314 345 84 335 284 160 299 212 215
	  
	211 222 206 339 259 219 175 180 242 185 323 250 66 343 273 0 289 192 118 248 126 293 270 189 92 198 128 213 129 58
	   
	295 77 160 361 74 104 114 322 56 130 55 293 339 326 93 289 0 218 173 332 393 261 296 106 351 284 163 299 215 231
		 
	78 200 62 176 236 118 134 108 175 93 273 86 236 179 251 192 218 0 130 118 221 124 106 178 194 67 94 82 64 146
		
	169 106 114 290 143 112 59 186 126 79 207 205 168 284 157 118 173 130 0 206 228 219 225 73 180 156 36 171 79 60
		
	38 281 177 100 318 233 218 81 285 204 375 65 233 144 332 248 332 118 206 0 191 123 76 257 187 52 172 37 127 202
	  
	167 332 279 295 369 315 279 116 346 281 433 221 60 313 383 126 393 221 228 191 0 279 238 299 52 157 230 162 187 168
	  
	112 263 105 106 299 161 197 163 222 151 316 58 315 69 314 293 261 124 219 123 279 0 60 241 269 127 183 119 164 247
		 
	71 294 136 70 330 192 228 124 253 182 351 20 274 75 345 270 296 106 225 76 238 60 0 272 228 86 189 76 146 224
		 
	220 33 136 337 70 100 46 242 60 90 134 254 239 306 84 189 106 178 73 257 299 241 272 0 251 209 85 224 135 131
	  
	157 284 239 285 321 274 237 106 304 240 385 211 46 303 335 92 351 194 180 187 52 269 228 251 0 147 188 154 147 120
		 
	16 233 129 143 272 185 170 41 237 156 327 69 193 161 284 198 284 67 156 52 157 127 86 209 147 0 124 15 77 152
		 
	135 109 78 254 146 91 49 159 116 57 206 169 178 248 160 128 163 94 36 172 230 183 189 85 188 124 0 139 52 70
		 
	7 248 144 133 285 200 185 48 252 171 342 61 200 151 299 213 299 82 171 37 162 119 76 224 154 15 139 0 92 167
		 
	90 161 92 211 198 128 101 107 168 94 258 126 171 219 212 129 215 64 79 127 187 164 146 135 147 77 52 92 0 83
	   
	165 164 148 293 201 161 117 175 184 127 265 204 108 297 215 58 231 146 60 202 168 247 224 131 120 152 70 167 83 0
]
