n: 50
data:  [1	59	65
		2	94	101
		3	20	22
		4	93	100
		5	45	51
		6	21	25
		7	25	34
		8	19	27
		9	10	19
		10	19	26
		11	44	53
		12	19	21
		13	84	85
		14	73	79
		15	62	64
		16	46	50
		17	16	23
		18	17	21
		19	38	43
		20	1	7
		21	17	25
		22	85	89
		23	97	101
		24	67	68
		25	53	55
		26	2	6
		27	6	13
		28	65	72
		29	9	18
		30	29	32
		31	59	69
		32	65	73
		33	90	98
		34	87	91
		35	81	90
		36	82	92
		37	41	50
		38	10	16
		39	11	12
		40	81	89
		41	48	53
		42	2	3
		43	93	97
		44	4	9
		45	38	45
		46	32	39
		47	79	89
		48	28	29
		49	64	74
		50	43	53]
