n: 10
m: 8
p: 2
c_unit: 0.012
c: [277 292 386 726 530 101 546 643
	365 334 381 753 589 25 553 733
	315 203 221 595 462 139 390 665
	308 127 90 463 360 271 257 611
	320 129 28 344 266 385 154 554
	190 22 124 442 265 305 286 485
	298 140 107 294 184 440 160 483
	25 207 324 575 317 347 470 374
	98 292 410 646 375 391 553 357
	146 336 449 796 352 476 573 274]

u: [2500 1750 2000 2000 2400 2000 1500 1200
	7500 6000 6500 8000 6800 7200 5500 4500]
	
f: [175 100 150 195 160 185 125 190
	300 250 325 225 275 350 270 220]

d: [894 773 598 706 1334 985 356 1670 490 641]
