n: 15
m: 12

a:[
	( 1  1) 1  ( 1  2) 1  ( 1  3) 1  ( 1  4) 1
	( 2  6) 1  ( 2  7) 1  ( 2  8) 1  ( 2  9) 1  ( 2 10) 1  ( 2 13) 1  ( 2 15) 1
	( 3  1) 1  ( 3  2) 1  ( 3  5) 1  ( 3  6) 1
	( 4  3) 1  ( 4  4) 1  ( 4  7) 1  ( 4  8) 1  ( 4 11) 1  ( 4 12) 1
	( 5 12) 1  ( 5 13) 1  ( 5 14) 1  ( 5 15) 1
	( 6  9) 1  ( 6 10) 1
	( 7  3) 1  ( 7  7) 1  ( 7  9) 1  ( 7 11) 1
	( 8  1) 1  ( 8  4) 1  ( 8  8) 1  ( 8 10) 1  ( 8 13) 1
	( 9  5) 1  ( 9 12) 1  ( 9 14) 1
	(10 11) 1  (10 12) 1
	(11  1) 1  (11  5) 1  (11 13) 1  (11 14) 1
	(12  2) 1  (12  3) 1  (12  6) 1  (12  7) 1  (12  9) 1  (12 15) 1
]

c:[
	( 1) 2900  ( 2) 2700  ( 3) 2600  ( 4) 3000  ( 5) 2600
	( 6) 3150  ( 7) 2550  ( 8) 2500  ( 9) 2600  (10) 2050
	(11) 2400  (12) 3600  (13) 2550  (14) 2650  (15) 2350
]
