n:100
data:[
	1	118	61	1187
	2	21	87	1211
	3	134	129	1332
	4	37	173	1289
	5	104	41	1068
	6	162	77	1477
	7	156	15	1032
	8	166	156	1051
	9	47	17	1427
	10	185	89	1258
	11	91	140	1076
	12	144	170	1413
	13	27	137	1050
	14	59	55	1229
	15	182	96	1434
	16	207	70	1229
	17	116	191	1275
	18	51	38	1278
	19	209	160	1065
	20	152	63	1338
	21	156	46	1031
	22	45	183	1024
	23	17	210	1140
	24	157	192	1338
	25	101	92	1088
	26	188	133	1374
	27	40	169	1438
	28	46	40	1264
	29	165	83	1157
	30	39	121	1495
	31	210	108	1264
	32	37	171	1038
	33	101	42	1170
	34	122	143	1478
	35	26	198	1094
	36	98	147	1112
	37	139	176	1012
	38	36	41	1412
	39	175	168	1192
	40	16	90	1074
	41	135	182	1397
	42	112	75	1106
	43	79	80	1256
	44	169	107	1236
	45	28	188	1079
	46	25	109	1187
	47	128	150	1040
	48	185	134	1208
	49	139	173	1059
	50	40	42	1376
	51	174	57	1177
	52	45	83	1054
	53	141	136	1239
	54	142	56	1018
	55	145	156	1090
	56	64	110	1430
	57	55	136	1334
	58	41	176	1356
	59	131	169	1040
	60	168	141	1236
	61	90	86	1239
	62	70	109	1358
	63	52	83	1140
	64	180	183	1187
	65	31	146	1257
	66	84	125	1405
	67	156	21	1026
	68	209	121	1058
	69	164	132	1020
	70	47	23	1284
	71	107	91	1391
	72	34	147	1163
	73	73	24	1132
	74	83	74	1026
	75	126	95	1112
	76	46	60	1075
	77	153	135	1489
	78	77	13	1131
	79	183	26	1498
	80	163	79	1120
	81	93	182	1332
	82	206	185	1490
	83	202	193	1272
	84	84	63	1442
	85	122	84	1229
	86	39	91	1259
	87	23	45	1475
	88	93	123	1500
	89	196	162	1211
	90	58	116	1217
	91	52	101	1037
	92	144	135	1357
	93	69	32	1456
	94	138	122	1053
	95	151	138	1087
	96	45	61	1226
	97	150	116	1485
	98	127	52	1274
	99	147	104	1434
	100	121	192	1270
]
