n: 100
stop_mejoras: 500
coords:[
    1	59	42
    2	10	88
    3	17	49
    4	41	31
    5	69	18
    6	85	15
    7	36	88
    8	78	9
    9	89	31
    10	52	63
    11	44	18
    12	5	74
    13	66	1
    14	42	40
    15	45	83
    16	74	45
    17	48	67
    18	68	78
    19	29	72
    20	69	43
    21	89	1
    22	52	33
    23	75	47
    24	36	13
    25	9	58
    26	97	13
    27	8	8
    28	58	53
    29	63	70
    30	47	75
    31	70	41
    32	8	45
    33	77	79
    34	29	24
    35	40	31
    36	50	83
    37	13	11
    38	18	66
    39	26	10
    40	37	86
    41	36	94
    42	19	29
    43	26	73
    44	35	34
    45	55	26
    46	12	100
    47	5	3
    48	32	30
    49	6	90
    50	20	51
    51	97	16
    52	46	50
    53	97	20
    54	22	1
    55	92	21
    56	2	27
    57	82	14
    58	58	72
    59	85	14
    60	42	86
    61	5	50
    62	40	22
    63	71	59
    64	36	88
    65	44	36
    66	26	66
    67	13	5
    68	17	30
    69	20	90
    70	77	92
    71	33	40
    72	66	71
    73	32	68
    74	36	82
    75	3	8
    76	74	51
    77	95	43
    78	93	53
    79	35	64
    80	27	60
    81	62	2
    82	56	14
    83	36	88
    84	42	6
    85	6	49
    86	85	37
    87	62	42
    88	50	98
    89	44	54
    90	48	84
    91	49	97
    92	41	29
    93	28	56
    94	29	32
    95	11	89
    96	48	50
    97	38	52
    98	88	64
    99	17	66
    100	25	98
]
