dc, Greedy, Greedy Opened, R. Greedy, Xpress, Xpress Opened
250,11,1 2 5 8 9 11 13 14 15 17 18,11,11,1 2 3 8 9 11 13 14 15 17 18
251,11,1 2 5 8 9 11 13 14 15 17 18,11,11,1 2 3 8 9 11 13 14 15 17 18
252,11,1 2 5 8 9 11 14 15 16 17 18,11,11,1 2 3 8 9 11 14 15 16 17 18
253,11,1 2 5 8 9 11 14 15 16 17 18,11,11,1 2 3 8 9 11 14 15 16 17 18
254,11,1 2 5 8 9 11 14 15 16 17 18,11,11,1 2 3 8 9 11 14 15 16 17 18
255,11,1 2 5 8 9 11 14 15 16 17 18,11,11,1 2 3 8 9 11 14 15 16 17 18
256,11,1 2 5 8 9 11 14 15 16 17 18,11,11,1 2 3 8 9 11 14 15 16 17 18
257,11,1 2 8 9 11 14 15 16 17 18 22,11,11,1 2 3 8 9 11 14 15 16 17 18
258,11,1 2 8 9 11 14 15 16 17 18 22,11,11,1 2 3 8 9 11 14 15 16 17 18
259,11,1 2 8 9 11 14 15 16 17 18 22,11,11,1 2 3 8 9 11 14 15 16 17 18
260,10,1 2 8 9 11 14 16 17 18 22,10,10,1 2 3 8 9 11 14 16 17 18
261,10,1 2 8 9 11 14 16 17 18 22,10,10,1 2 3 8 9 11 14 16 17 18
262,10,1 2 8 9 11 14 16 17 18 22,10,10,1 2 3 8 9 11 14 16 17 18
263,10,1 2 8 9 11 14 16 17 18 22,10,10,1 2 3 8 9 11 14 16 17 18
264,10,1 2 8 9 11 14 16 17 18 22,10,10,1 2 3 8 9 11 14 16 17 18
265,9,1 2 3 8 9 11 14 17 18,9,9,1 2 3 8 9 11 14 17 18
266,9,1 2 3 8 9 11 14 17 18,9,9,1 2 3 8 9 11 14 17 18
267,9,1 2 3 8 9 11 14 17 18,9,9,1 2 3 8 9 11 14 17 18
268,9,1 2 3 8 9 11 14 17 18,9,9,1 2 7 8 9 11 14 17 18
269,9,1 2 3 8 9 11 14 17 18,9,9,1 2 7 8 9 11 14 17 18
270,9,1 2 3 8 9 11 14 17 18,9,9,1 2 4 8 9 11 14 17 18
271,9,1 2 3 8 9 11 14 17 18,9,9,1 2 4 8 9 11 14 17 18
272,9,1 2 3 8 9 11 14 17 18,9,9,1 2 4 8 9 11 14 17 18
273,9,1 2 3 9 11 14 16 17 18,9,9,1 2 4 9 11 14 16 17 18
274,9,1 2 3 9 11 14 16 17 18,9,9,1 2 4 9 11 14 16 17 18
275,8,1 2 7 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
276,8,1 2 3 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
277,8,1 2 3 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
278,8,1 2 3 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
279,8,1 2 3 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
280,8,1 2 3 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
281,8,1 2 3 9 11 14 17 18,8,8,1 2 5 9 11 14 17 18
282,8,1 2 3 9 11 14 17 18,8,8,1 2 7 9 14 17 18 19
283,8,1 2 3 9 11 14 17 18,8,8,1 2 7 9 14 17 18 19
284,8,1 2 3 9 11 14 17 18,8,8,1 2 7 9 14 17 18 19
285,8,1 2 3 9 11 14 17 18,8,8,1 3 9 12 14 17 18 19
286,8,1 2 3 9 11 14 17 18,8,8,1 3 9 12 14 17 18 19
287,8,1 2 3 9 11 14 17 18,8,8,1 9 12 14 17 18 19 20
288,8,1 2 3 9 11 14 17 18,8,8,1 9 12 14 17 18 19 20
289,8,1 2 3 9 11 14 17 18,8,8,1 9 12 14 17 18 19 20
290,8,1 2 3 9 11 14 17 18,8,8,1 9 12 14 17 18 19 20
291,8,2 3 9 11 14 16 17 18,8,8,9 10 12 14 17 18 19 20
292,8,1 2 9 11 14 17 18 22,8,8,1 9 11 12 14 17 18 20
293,8,1 2 9 11 14 17 18 20,8,8,1 9 11 12 14 17 18 20
294,8,1 2 9 11 14 17 18 20,8,8,1 9 11 12 14 17 18 20
295,8,1 2 9 11 14 17 18 22,8,8,1 9 11 12 14 17 18 20
296,8,1 2 9 11 14 17 18 22,8,8,1 2 9 11 14 17 18 20
297,8,1 2 9 11 14 17 18 22,8,8,1 9 11 12 14 17 18 20
298,8,1 2 9 11 14 17 18 22,8,8,9 11 12 14 16 17 18 20
299,8,1 2 9 11 14 17 18 22,8,8,2 9 11 14 16 17 18 20
