dc, Greedy, Greedy Opened, R. Greedy, R. Greedy Opened, Xpress, Xpress Opened
350,3,3 4 10,3,3 4 10,3,3 4 14
351,3,3 4 10,3,1 13 19,3,3 4 14
352,3,3 4 10,3,1 13 19,3,3 4 14
353,3,3 4 10,3,3 4 14,3,3 4 14
354,3,3 4 10,3,3 4 19,3,3 4 14
355,3,3 4 10,3,3 4 19,3,3 4 14
356,3,3 4 10,3,4 13 19,3,3 4 14
357,3,3 4 10,3,3 4 10,3,3 4 14
358,3,3 4 10,3,4 12 13,3,3 4 14
359,3,3 4 14,3,4 13 14,3,3 4 14
360,3,3 4 10,3,1 12 13,3,3 4 14
361,3,3 4 10,3,3 4 12,3,3 4 14
362,3,3 4 14,3,3 4 14,3,3 4 14
363,3,3 4 14,3,4 12 13,3,3 4 14
364,3,3 4 14,3,1 10 13,3,1 13 14
365,3,3 4 14,3,3 4 10,3,1 13 14
366,3,3 4 14,3,4 12 13,3,1 13 14
367,3,3 4 14,3,3 4 16,3,1 13 14
368,3,3 4 14,3,1 12 13,3,1 13 14
369,3,3 4 14,3,3 4 14,3,1 13 14
370,3,3 4 14,3,1 13 19,3,1 13 14
371,3,3 4 14,3,4 13 14,3,1 13 14
372,3,3 4 14,3,4 10 13,3,1 13 14
373,3,3 4 12,3,1 12 13,3,1 13 14
374,3,3 4 12,3,1 13 14,3,1 13 14
375,3,3 4 12,3,4 10 13,3,1 13 14
376,3,3 4 12,3,4 10 13,3,1 13 14
377,3,3 4 12,3,3 4 19,3,1 13 14
378,3,3 4 8,3,4 8 13,3,1 8 13
379,3,3 4 8,3,4 13 16,3,1 8 13
380,3,3 4 8,3,4 10 18,3,1 8 13
381,3,3 4 8,3,1 12 13,3,1 8 13
382,3,3 4 8,3,1 10 13,3,1 8 13
383,3,3 4 8,3,3 4 14,3,1 8 13
384,3,3 4 8,3,3 4 8,3,1 8 13
385,3,3 4 8,3,7 8 13,3,3 4 8
386,3,3 4 8,3,1 8 13,3,3 4 8
387,3,3 4 8,3,1 12 13,3,3 4 8
388,3,3 4 8,3,3 4 12,3,3 4 8
389,3,3 4 8,3,7 12 13,3,3 4 8
390,3,3 4 8,3,1 8 13,3,3 4 8
391,3,3 4 8,3,4 12 13,3,3 4 8
392,3,3 4 8,3,4 12 13,3,3 4 8
393,3,3 4 8,3,4 12 13,3,3 4 8
394,3,3 4 8,3,7 13 16,3,3 4 8
395,3,4 8 9,3,4 8 9,3,3 4 8
396,3,4 8 9,3,1 8 13,3,3 4 8
397,3,4 8 9,3,4 8 9,3,7 13 14
398,3,4 8 9,3,4 13 16,3,7 13 14
399,3,4 8 9,3,7 13 14,3,7 13 14
400,3,4 8 9,3,7 8 13,3,7 13 14
