dc, Greedy, Greedy Opened, R. Greedy, Xpress, Xpress Opened
300,8,1 2 7 9 11 14 17 18,8,8,2 7 9 11 14 16 17 18
301,8,1 2 7 9 11 14 17 18,8,8,2 7 9 11 14 16 17 18
302,8,1 2 3 6 11 13 17 18,7,7,2 7 9 11 16 17 18
303,7,1 2 3 9 11 17 18,7,7,2 5 9 11 16 17 18
304,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
305,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
306,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
307,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
308,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
309,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
310,7,1 2 3 9 11 17 18,7,7,9 11 12 13 16 17 18
311,7,1 2 3 9 11 17 18,7,7,2 9 11 13 16 17 18
312,7,1 2 3 9 11 17 18,6,6,2 11 13 16 17 18
313,7,1 2 3 9 11 17 18,6,6,2 11 13 16 17 18
314,7,1 2 3 9 11 17 18,6,6,2 11 13 16 17 18
315,6,2 6 11 13 17 18,6,6,2 6 9 14 17 21
316,6,2 6 11 13 17 18,6,6,2 9 11 16 17 18
317,6,2 6 11 13 17 18,6,6,2 6 11 13 17 18
318,6,2 6 11 13 17 18,6,6,2 6 11 13 17 18
319,6,2 6 9 11 17 18,6,6,2 9 11 16 17 18
320,6,2 6 9 11 17 18,5,5,2 11 16 17 18
321,6,2 6 9 11 17 18,5,5,2 11 16 17 18
322,6,2 6 9 11 17 18,5,5,2 11 16 17 18
323,6,2 6 9 11 17 18,5,5,2 11 16 17 18
324,6,2 6 9 11 17 18,5,5,2 11 16 17 18
325,6,2 3 6 9 17 18,5,5,2 11 16 17 18
326,6,2 3 6 9 17 18,5,5,2 11 16 17 18
327,6,2 6 9 11 17 18,5,5,2 11 16 17 18
328,6,2 6 9 11 17 18,5,5,11 12 16 17 18
329,6,2 6 9 11 17 18,5,5,11 12 16 17 18
330,6,2 6 9 11 17 18,5,5,11 12 16 17 18
331,6,2 6 9 11 17 18,5,5,2 11 16 17 18
332,6,2 6 9 11 17 18,5,5,2 11 16 17 18
333,6,2 6 9 11 17 18,5,5,2 11 16 17 18
334,6,2 6 9 11 17 18,5,5,2 11 16 17 18
335,6,2 6 9 11 17 18,5,5,2 11 16 17 18
336,6,2 6 9 11 17 18,5,5,2 11 16 17 18
337,6,2 6 9 11 17 18,5,5,2 11 16 17 18
338,6,2 6 9 11 17 18,5,5,2 11 16 17 18
339,6,2 6 9 11 17 18,5,5,11 12 16 17 18
340,6,2 6 9 11 17 18,5,5,11 12 16 17 18
341,6,2 6 9 11 17 18,5,5,11 12 16 17 18
342,5,3 6 9 17 18,4,4,11 16 17 18
343,5,3 6 9 17 18,4,4,11 16 17 18
344,5,3 6 9 17 18,4,4,11 16 17 18
345,5,3 6 9 17 18,4,4,11 16 17 18
346,5,3 6 9 17 18,4,4,11 16 17 18
347,5,3 6 9 17 18,4,4,11 16 17 18
348,5,3 6 9 17 18,4,4,11 16 17 18
349,5,3 6 9 17 18,4,4,11 16 17 18
